Casos,Tamaño 10,Tamaño 20,Tamaño 30,Tamaño 40,Tamaño 50,Tamaño 60,Tamaño 70,Tamaño 80,Tamaño 90,Tamaño 100,Tamaño 110,Tamaño 120,Tamaño 130,Tamaño 140,Tamaño 150,Tamaño 160,Tamaño 170,Tamaño 180,Tamaño 190,Tamaño 200,Tamaño 210,Tamaño 220,Tamaño 230,Tamaño 240,Tamaño 250,Tamaño 260,Tamaño 270,Tamaño 280,Tamaño 290,Tamaño 300,Tamaño 310,Tamaño 320,Tamaño 330,Tamaño 340,Tamaño 350,Tamaño 360,Tamaño 370,Tamaño 380,Tamaño 390,Tamaño 400,Tamaño 410,Tamaño 420,Tamaño 430,Tamaño 440,Tamaño 450,Tamaño 460,Tamaño 470,Tamaño 480,Tamaño 490,Tamaño 500,Tamaño 510,Tamaño 520,Tamaño 530,Tamaño 540,Tamaño 550,Tamaño 560,Tamaño 570,Tamaño 580,Tamaño 590,Tamaño 600,Tamaño 610,Tamaño 620,Tamaño 630,Tamaño 640,Tamaño 650,Tamaño 660,Tamaño 670,Tamaño 680,Tamaño 690,Tamaño 700,Tamaño 710,Tamaño 720,Tamaño 730,Tamaño 740,Tamaño 750,Tamaño 760,Tamaño 770,Tamaño 780,Tamaño 790,Tamaño 800,Tamaño 810,Tamaño 820,Tamaño 830,Tamaño 840,Tamaño 850,Tamaño 860,Tamaño 870,Tamaño 880,Tamaño 890,Tamaño 900,Tamaño 910,Tamaño 920,Tamaño 930,Tamaño 940,Tamaño 950,Tamaño 960,Tamaño 970,Tamaño 980,Tamaño 990,Tamaño 1000
Caso 535,0.0000003,0.0000005,0.0000008,0.0000013,0.0000018,0.0000020,0.0000026,0.0000032,0.0000041,0.0000051,0.0000062,0.0000104,0.0000117,0.0000137,0.0000123,0.0000131,0.0000150,0.0000170,0.0000190,0.0000203,0.0000213,0.0000238,0.0000261,0.0000289,0.0000391,0.0000344,0.0000375,0.0000397,0.0000539,0.0000455,0.0000486,0.0000530,0.0000562,0.0000584,0.0000758,0.0000801,0.0000691,0.0000723,0.0002019,0.0000993,0.0000854,0.0000897,0.0000930,0.0000974,0.0001026,0.0001292,0.0001099,0.0001126,0.0001160,0.0001835,0.0001256,0.0001581,0.0001360,0.0001415,0.0001468,0.0001514,0.0001579,0.0001635,0.0001683,0.0001720,0.0001947,0.0001819,0.0001838,0.0001964,0.0002038,0.0002108,0.0002148,0.0002414,0.0002749,0.0002352,0.0002420,0.0002418,0.0002555,0.0002554,0.0002659,0.0002738,0.0002770,0.0003189,0.0003043,0.0003129,0.0003226,0.0003379,0.0003773,0.0005348,0.0003402,0.0003493,0.0003592,0.0003692,0.0003794,0.0003884,0.0004608,0.0004078,0.0004186,0.0004274,0.0004331,0.0004616,0.0004514,0.0004587,0.0004693,0.0004770,
Caso 536,0.0000003,0.0000006,0.0000010,0.0000012,0.0000017,0.0000028,0.0000028,0.0000035,0.0000056,0.0000054,0.0000084,0.0000102,0.0000126,0.0000112,0.0000159,0.0000139,0.0000156,0.0000220,0.0000192,0.0000209,0.0000290,0.0000316,0.0000265,0.0000285,0.0000319,0.0000349,0.0000476,0.0000493,0.0000445,0.0000460,0.0000491,0.0000517,0.0000552,0.0000601,0.0000604,0.0000783,0.0000870,0.0001043,0.0000757,0.0000798,0.0000846,0.0000878,0.0000914,0.0001157,0.0001009,0.0001250,0.0001293,0.0001104,0.0001472,0.0001256,0.0001316,0.0001356,0.0001420,0.0001701,0.0001496,0.0001532,0.0001687,0.0001636,0.0001690,0.0001751,0.0001861,0.0001918,0.0001910,0.0002372,0.0002096,0.0002141,0.0002135,0.0002209,0.0002278,0.0002310,0.0002325,0.0002386,0.0002450,0.0002581,0.0003084,0.0002697,0.0002710,0.0002895,0.0002943,0.0006282,0.0003900,0.0003173,0.0005707,0.0003904,0.0003438,0.0003622,0.0003703,0.0003524,0.0003759,0.0003822,0.0004023,0.0004195,0.0004639,0.0004155,0.0004247,0.0004341,0.0004436,0.0004590,0.0004601,0.0004677,
Caso 537,0.0000002,0.0000005,0.0000008,0.0000012,0.0000020,0.0000025,0.0000042,0.0000042,0.0000050,0.0000058,0.0000106,0.0000091,0.0000108,0.0000157,0.0000222,0.0000165,0.0000323,0.0000202,0.0000215,0.0000283,0.0000248,0.0000330,0.0000372,0.0000319,0.0000346,0.0000370,0.0000395,0.0000533,0.0000456,0.0000491,0.0000516,0.0000684,0.0000775,0.0000638,0.0000659,0.0000696,0.0000739,0.0000771,0.0000809,0.0000849,0.0000881,0.0001114,0.0001146,0.0001189,0.0001036,0.0001345,0.0001137,0.0001182,0.0001220,0.0001286,0.0001324,0.0001667,0.0001426,0.0001468,0.0001526,0.0001636,0.0001700,0.0001770,0.0002191,0.0001829,0.0001901,0.0001963,0.0002176,0.0002418,0.0002082,0.0002215,0.0002696,0.0002224,0.0002678,0.0002400,0.0003031,0.0002582,0.0003173,0.0002636,0.0002785,0.0003263,0.0004340,0.0003089,0.0003049,0.0003632,0.0003179,0.0003300,0.0003479,0.0003454,0.0004163,0.0004145,0.0003659,0.0004638,0.0003947,0.0004045,0.0004679,0.0004061,0.0004150,0.0004818,0.0004319,0.0004698,0.0004475,0.0004434,0.0004696,0.0004807,
Caso 538,0.0000003,0.0000005,0.0000008,0.0000011,0.0000023,0.0000023,0.0000029,0.0000038,0.0000049,0.0000057,0.0000070,0.0000082,0.0000097,0.0000113,0.0000131,0.0000151,0.0000170,0.0000189,0.0000214,0.0000299,0.0000291,0.0000274,0.0000295,0.0000398,0.0000342,0.0000370,0.0000454,0.0000907,0.0000473,0.0000503,0.0000534,0.0000570,0.0000614,0.0000644,0.0000684,0.0000720,0.0000762,0.0000801,0.0000842,0.0000860,0.0000891,0.0000927,0.0001068,0.0001065,0.0001087,0.0001125,0.0001173,0.0001474,0.0001267,0.0001316,0.0001628,0.0001423,0.0001537,0.0001607,0.0001602,0.0001652,0.0001708,0.0001760,0.0002025,0.0001901,0.0001938,0.0001978,0.0001981,0.0002102,0.0002116,0.0002244,0.0002756,0.0002377,0.0002452,0.0002482,0.0002544,0.0002664,0.0002712,0.0002809,0.0004171,0.0003624,0.0003774,0.0003245,0.0003127,0.0003476,0.0003839,0.0003454,0.0003501,0.0003540,0.0003747,0.0003792,0.0003739,0.0003856,0.0003916,0.0004030,0.0004577,0.0004329,0.0004280,0.0004501,0.0004464,0.0004556,0.0004607,0.0004736,0.0004845,0.0004927,
Caso 539,0.0000002,0.0000006,0.0000009,0.0000011,0.0000015,0.0000027,0.0000029,0.0000037,0.0000045,0.0000053,0.0000065,0.0000098,0.0000090,0.0000099,0.0000110,0.0000124,0.0000141,0.0000199,0.0000236,0.0000234,0.0000204,0.0000222,0.0000249,0.0000269,0.0000288,0.0000310,0.0000348,0.0000371,0.0000407,0.0000432,0.0000464,0.0000493,0.0000520,0.0000554,0.0000734,0.0000733,0.0000657,0.0000702,0.0000735,0.0000772,0.0000807,0.0000987,0.0000892,0.0000934,0.0000977,0.0001034,0.0001056,0.0001095,0.0001144,0.0001427,0.0001226,0.0001403,0.0001393,0.0001441,0.0001501,0.0001580,0.0001614,0.0001661,0.0001669,0.0001748,0.0001804,0.0001873,0.0001923,0.0001994,0.0002010,0.0002121,0.0002185,0.0002186,0.0002384,0.0003569,0.0002760,0.0002525,0.0002578,0.0002590,0.0002719,0.0003075,0.0002889,0.0002946,0.0003233,0.0003074,0.0003149,0.0003181,0.0003874,0.0003556,0.0003443,0.0003895,0.0003704,0.0003789,0.0003777,0.0003840,0.0004677,0.0004008,0.0004217,0.0004329,0.0004271,0.0006362,0.0004584,0.0005336,0.0004647,0.0004724,
Caso 540,0.0000003,0.0000006,0.0000009,0.0000012,0.0000020,0.0000030,0.0000029,0.0000048,0.0000044,0.0000071,0.0000064,0.0000074,0.0000087,0.0000105,0.0000117,0.0000131,0.0000149,0.0000165,0.0000182,0.0000200,0.0000218,0.0000247,0.0000279,0.0000305,0.0000395,0.0000367,0.0000388,0.0000410,0.0000450,0.0000482,0.0000506,0.0000535,0.0000571,0.0000604,0.0000637,0.0000671,0.0000704,0.0000741,0.0000951,0.0000818,0.0001074,0.0000907,0.0000947,0.0000985,0.0001438,0.0001077,0.0001120,0.0001189,0.0001502,0.0001272,0.0001570,0.0001361,0.0001397,0.0001449,0.0002174,0.0002492,0.0003659,0.0002534,0.0002439,0.0001826,0.0001893,0.0001952,0.0002032,0.0002040,0.0002164,0.0003398,0.0007870,0.0003036,0.0002361,0.0002429,0.0002962,0.0002634,0.0003231,0.0002818,0.0002808,0.0002878,0.0003780,0.0003547,0.0003706,0.0003175,0.0004102,0.0003366,0.0006538,0.0006085,0.0003662,0.0003744,0.0003802,0.0003884,0.0004674,0.0004033,0.0004119,0.0008576,0.0005241,0.0005175,0.0004442,0.0005341,0.0004956,0.0005165,0.0007991,0.0004928,
Caso 541,0.0000003,0.0000005,0.0000008,0.0000013,0.0000020,0.0000030,0.0000031,0.0000040,0.0000049,0.0000058,0.0000088,0.0000082,0.0000093,0.0000108,0.0000122,0.0000223,0.0000235,0.0000261,0.0000370,0.0000334,0.0000386,0.0000643,0.0000461,0.0000747,0.0000403,0.0000352,0.0000368,0.0000398,0.0000518,0.0000455,0.0000565,0.0000508,0.0000535,0.0000702,0.0000720,0.0000619,0.0000652,0.0000682,0.0000715,0.0001325,0.0000817,0.0000831,0.0000870,0.0001054,0.0000959,0.0001006,0.0001048,0.0001086,0.0001143,0.0001424,0.0001387,0.0001477,0.0001827,0.0002181,0.0001694,0.0001431,0.0001493,0.0001547,0.0001607,0.0001673,0.0002088,0.0001823,0.0001870,0.0001994,0.0002001,0.0002043,0.0002089,0.0002155,0.0002629,0.0002262,0.0002341,0.0003379,0.0002472,0.0002554,0.0002618,0.0002676,0.0002769,0.0002862,0.0002847,0.0003019,0.0003694,0.0003699,0.0003256,0.0003863,0.0003415,0.0003523,0.0003576,0.0003631,0.0003777,0.0004536,0.0003925,0.0004002,0.0004068,0.0004278,0.0004364,0.0004340,0.0004439,0.0005620,0.0004579,0.0004694,
Caso 542,0.0000003,0.0000006,0.0000007,0.0000013,0.0000015,0.0000022,0.0000033,0.0000039,0.0000051,0.0000059,0.0000069,0.0000082,0.0000135,0.0000111,0.0000125,0.0000141,0.0000157,0.0000172,0.0000197,0.0000219,0.0000242,0.0000256,0.0000280,0.0000296,0.0000322,0.0000346,0.0000380,0.0000511,0.0000441,0.0000474,0.0000496,0.0000527,0.0000555,0.0000722,0.0000628,0.0000658,0.0000840,0.0000718,0.0000752,0.0000784,0.0000823,0.0000871,0.0001941,0.0001219,0.0001456,0.0001609,0.0001850,0.0001128,0.0001222,0.0001217,0.0001265,0.0001306,0.0002164,0.0001421,0.0001755,0.0001518,0.0001583,0.0002007,0.0002058,0.0001964,0.0002023,0.0002052,0.0002337,0.0003997,0.0003869,0.0002168,0.0002229,0.0002218,0.0002281,0.0002280,0.0002509,0.0002676,0.0002565,0.0002573,0.0002724,0.0002811,0.0002871,0.0002931,0.0002978,0.0003104,0.0003740,0.0003672,0.0003372,0.0004725,0.0003535,0.0004009,0.0004532,0.0004038,0.0003856,0.0006467,0.0004043,0.0004176,0.0004912,0.0004400,0.0004492,0.0004462,0.0004677,0.0006535,0.0005156,0.0004831,
Caso 543,0.0000004,0.0000010,0.0000012,0.0000021,0.0000025,0.0000048,0.0000049,0.0000068,0.0000074,0.0000097,0.0000101,0.0000117,0.0000101,0.0000151,0.0000247,0.0000159,0.0000209,0.0000224,0.0000192,0.0000296,0.0000244,0.0000247,0.0000266,0.0000290,0.0000310,0.0000342,0.0000375,0.0000395,0.0000418,0.0000438,0.0000471,0.0000623,0.0000527,0.0000548,0.0001411,0.0000653,0.0001623,0.0000712,0.0000927,0.0001482,0.0000835,0.0001029,0.0000889,0.0000928,0.0001026,0.0001191,0.0001300,0.0001206,0.0001410,0.0001525,0.0001262,0.0002196,0.0001391,0.0002968,0.0001517,0.0001577,0.0001923,0.0001857,0.0001682,0.0001728,0.0002687,0.0001841,0.0001890,0.0002542,0.0002354,0.0002509,0.0002144,0.0002211,0.0002823,0.0002347,0.0002885,0.0002473,0.0002548,0.0002617,0.0004008,0.0003741,0.0002792,0.0002893,0.0002962,0.0004379,0.0003109,0.0003207,0.0003751,0.0003430,0.0005112,0.0004993,0.0003669,0.0005138,0.0003733,0.0003824,0.0003865,0.0003970,0.0004504,0.0004161,0.0004248,0.0004348,0.0004804,0.0004692,0.0005062,0.0004889,
Caso 544,0.0000003,0.0000005,0.0000009,0.0000011,0.0000017,0.0000023,0.0000030,0.0000039,0.0000050,0.0000061,0.0000087,0.0000081,0.0000120,0.0000105,0.0000122,0.0000138,0.0000154,0.0000172,0.0000191,0.0000272,0.0000296,0.0000303,0.0000275,0.0000305,0.0000348,0.0000363,0.0000403,0.0000387,0.0000410,0.0000448,0.0000484,0.0000508,0.0000666,0.0000566,0.0000687,0.0000801,0.0000670,0.0000710,0.0000745,0.0000785,0.0000819,0.0001045,0.0001361,0.0000986,0.0001044,0.0001091,0.0001296,0.0001186,0.0001230,0.0001237,0.0001287,0.0001598,0.0001437,0.0001433,0.0001485,0.0001843,0.0001907,0.0001640,0.0001698,0.0001708,0.0001859,0.0001866,0.0001930,0.0001971,0.0002022,0.0002014,0.0002146,0.0002190,0.0002242,0.0002318,0.0002839,0.0003814,0.0005201,0.0002692,0.0002699,0.0002764,0.0002852,0.0003218,0.0003129,0.0003233,0.0003331,0.0003269,0.0004223,0.0003709,0.0005408,0.0005604,0.0006242,0.0003725,0.0004558,0.0003894,0.0004005,0.0004093,0.0004201,0.0005008,0.0010239,0.0005283,0.0004599,0.0004666,0.0004749,0.0004868,
Caso 545,0.0000003,0.0000005,0.0000008,0.0000010,0.0000018,0.0000024,0.0000033,0.0000042,0.0000050,0.0000061,0.0000070,0.0000079,0.0000093,0.0000107,0.0000162,0.0000142,0.0000156,0.0000175,0.0000191,0.0000215,0.0000244,0.0000257,0.0000278,0.0000297,0.0000321,0.0000353,0.0000382,0.0000415,0.0001606,0.0000516,0.0000529,0.0000565,0.0000585,0.0000612,0.0000648,0.0000685,0.0000724,0.0000741,0.0001150,0.0000864,0.0000871,0.0000908,0.0000940,0.0001065,0.0001058,0.0001099,0.0001338,0.0001148,0.0001183,0.0001230,0.0001288,0.0001319,0.0001374,0.0001475,0.0001494,0.0001546,0.0001602,0.0001619,0.0001714,0.0001781,0.0003222,0.0001974,0.0002012,0.0002065,0.0002373,0.0002561,0.0003223,0.0002224,0.0002298,0.0002362,0.0002425,0.0002498,0.0002561,0.0002637,0.0004139,0.0002758,0.0002827,0.0002910,0.0003002,0.0003072,0.0003159,0.0003212,0.0003912,0.0004042,0.0003452,0.0003625,0.0003698,0.0003781,0.0004541,0.0003849,0.0004559,0.0004036,0.0005346,0.0006146,0.0004313,0.0004412,0.0004817,0.0004620,0.0004717,0.0004974,
Caso 546,0.0000003,0.0000006,0.0000007,0.0000011,0.0000017,0.0000022,0.0000028,0.0000039,0.0000048,0.0000055,0.0000064,0.0000074,0.0000109,0.0000100,0.0000116,0.0000130,0.0000150,0.0000166,0.0000183,0.0000203,0.0000223,0.0000245,0.0000269,0.0000293,0.0000314,0.0000348,0.0000449,0.0000470,0.0000430,0.0000461,0.0000488,0.0000531,0.0000560,0.0000598,0.0000619,0.0000667,0.0000712,0.0000747,0.0000787,0.0000825,0.0000860,0.0001111,0.0000947,0.0000996,0.0001040,0.0001089,0.0001138,0.0001220,0.0001545,0.0001325,0.0001358,0.0001409,0.0001445,0.0001487,0.0001985,0.0003104,0.0001643,0.0001684,0.0002492,0.0003601,0.0002461,0.0001860,0.0002601,0.0002485,0.0002047,0.0002477,0.0003290,0.0002298,0.0002353,0.0002777,0.0002414,0.0002469,0.0002543,0.0002617,0.0002607,0.0002898,0.0002932,0.0003002,0.0002978,0.0003072,0.0003045,0.0003773,0.0003282,0.0003343,0.0003422,0.0003504,0.0006845,0.0003825,0.0005927,0.0007919,0.0004099,0.0004175,0.0004809,0.0004243,0.0004357,0.0004449,0.0004550,0.0004680,0.0004773,0.0004863,
Caso 547,0.0000003,0.0000006,0.0000008,0.0000012,0.0000017,0.0000024,0.0000038,0.0000037,0.0000048,0.0000072,0.0000066,0.0000081,0.0000096,0.0000141,0.0000121,0.0000136,0.0000157,0.0000213,0.0000237,0.0000199,0.0000264,0.0000252,0.0000334,0.0000283,0.0000393,0.0000333,0.0000359,0.0000461,0.0000480,0.0000424,0.0000456,0.0000599,0.0000988,0.0000558,0.0000587,0.0000613,0.0000652,0.0000688,0.0000728,0.0000761,0.0000797,0.0001035,0.0000896,0.0001126,0.0001346,0.0000989,0.0001248,0.0001080,0.0001335,0.0001169,0.0001218,0.0001273,0.0001599,0.0001374,0.0001421,0.0003087,0.0001830,0.0001582,0.0001636,0.0002002,0.0002045,0.0001818,0.0001939,0.0001940,0.0001977,0.0001997,0.0002077,0.0002603,0.0002198,0.0002270,0.0002326,0.0002398,0.0002464,0.0003075,0.0002670,0.0002691,0.0002741,0.0002919,0.0002871,0.0003470,0.0003041,0.0003105,0.0003151,0.0003230,0.0003358,0.0003444,0.0003504,0.0005921,0.0004501,0.0005917,0.0003812,0.0003889,0.0003975,0.0004761,0.0004145,0.0004263,0.0004341,0.0004450,0.0005262,0.0005068,
Caso 548,0.0000002,0.0000005,0.0000009,0.0000013,0.0000020,0.0000024,0.0000031,0.0000038,0.0000049,0.0000059,0.0000066,0.0000092,0.0000090,0.0000130,0.0000153,0.0000131,0.0000144,0.0000205,0.0000176,0.0000197,0.0000223,0.0000245,0.0000272,0.0000378,0.0000314,0.0000341,0.0000440,0.0000475,0.0000519,0.0000441,0.0000499,0.0000668,0.0000559,0.0000592,0.0000611,0.0000639,0.0000669,0.0000698,0.0000756,0.0000792,0.0000818,0.0000854,0.0000882,0.0000922,0.0000983,0.0001021,0.0001068,0.0001119,0.0001171,0.0001229,0.0001266,0.0001322,0.0001377,0.0001433,0.0001542,0.0001580,0.0001649,0.0001705,0.0001775,0.0001795,0.0001859,0.0001956,0.0001991,0.0001992,0.0002087,0.0002172,0.0002156,0.0002377,0.0002420,0.0002418,0.0002478,0.0002535,0.0002611,0.0002714,0.0002804,0.0002829,0.0002867,0.0002961,0.0003065,0.0003116,0.0003205,0.0003834,0.0003353,0.0003443,0.0003513,0.0003578,0.0003710,0.0005057,0.0004076,0.0003916,0.0003971,0.0004050,0.0004119,0.0004204,0.0004323,0.0004427,0.0005065,0.0004651,0.0004731,0.0004838,
Caso 549,0.0000003,0.0000006,0.0000008,0.0000012,0.0000016,0.0000021,0.0000026,0.0000036,0.0000047,0.0000059,0.0000068,0.0000078,0.0000092,0.0000102,0.0000155,0.0000142,0.0000206,0.0000174,0.0000192,0.0000211,0.0000233,0.0000300,0.0000336,0.0000364,0.0000333,0.0000356,0.0000378,0.0000407,0.0000431,0.0000462,0.0000579,0.0000656,0.0000670,0.0000728,0.0000626,0.0000654,0.0000687,0.0000898,0.0001105,0.0000796,0.0000831,0.0000873,0.0000957,0.0001940,0.0002007,0.0001320,0.0001107,0.0001139,0.0001221,0.0001512,0.0001308,0.0002281,0.0001436,0.0001478,0.0001534,0.0001575,0.0001629,0.0001704,0.0001761,0.0002195,0.0002348,0.0002041,0.0002024,0.0002065,0.0002082,0.0002582,0.0002286,0.0002343,0.0002407,0.0002971,0.0002508,0.0002701,0.0003307,0.0003278,0.0002824,0.0002909,0.0003484,0.0002995,0.0003099,0.0003158,0.0003327,0.0003461,0.0003472,0.0003558,0.0003670,0.0005943,0.0005001,0.0005645,0.0004956,0.0004661,0.0004781,0.0004158,0.0004266,0.0004355,0.0004899,0.0004781,0.0004829,0.0005948,0.0005556,0.0004886,
Caso 550,0.0000002,0.0000004,0.0000008,0.0000014,0.0000022,0.0000024,0.0000030,0.0000036,0.0000048,0.0000056,0.0000069,0.0000080,0.0000110,0.0000103,0.0000120,0.0000136,0.0000151,0.0000166,0.0000183,0.0000258,0.0000286,0.0000248,0.0000266,0.0000285,0.0000307,0.0000340,0.0000371,0.0000390,0.0000511,0.0000437,0.0000578,0.0000493,0.0000550,0.0000552,0.0001708,0.0000610,0.0000652,0.0000687,0.0000724,0.0000765,0.0000986,0.0001040,0.0000884,0.0000928,0.0000959,0.0001012,0.0001038,0.0001904,0.0001476,0.0001213,0.0001557,0.0002676,0.0001664,0.0001365,0.0001648,0.0001467,0.0001931,0.0001614,0.0001669,0.0001748,0.0001724,0.0001781,0.0002210,0.0002002,0.0001938,0.0002035,0.0003042,0.0002245,0.0002319,0.0002703,0.0002347,0.0002800,0.0002477,0.0002560,0.0002621,0.0002620,0.0002783,0.0002852,0.0002909,0.0003572,0.0003068,0.0003282,0.0003337,0.0003737,0.0003370,0.0003593,0.0008155,0.0004267,0.0003707,0.0003761,0.0005790,0.0003927,0.0004027,0.0004473,0.0004188,0.0005088,0.0004304,0.0004554,0.0004625,0.0004733,
Caso 551,0.0000002,0.0000005,0.0000010,0.0000013,0.0000023,0.0000025,0.0000041,0.0000040,0.0000064,0.0000072,0.0000064,0.0000078,0.0000088,0.0000101,0.0000150,0.0000170,0.0000150,0.0000161,0.0000177,0.0000191,0.0000257,0.0000290,0.0000346,0.0000299,0.0000329,0.0000434,0.0000373,0.0000508,0.0000432,0.0000547,0.0000476,0.0000502,0.0000530,0.0000675,0.0000588,0.0000768,0.0000791,0.0000665,0.0000700,0.0000748,0.0000810,0.0000903,0.0001085,0.0000935,0.0000984,0.0001023,0.0001062,0.0001096,0.0001148,0.0001460,0.0002451,0.0001329,0.0001341,0.0001395,0.0001443,0.0001474,0.0001994,0.0001643,0.0001710,0.0001844,0.0002108,0.0001857,0.0002560,0.0001986,0.0002044,0.0002128,0.0002490,0.0002261,0.0002270,0.0002412,0.0002466,0.0002538,0.0002609,0.0002607,0.0002790,0.0002863,0.0002953,0.0003019,0.0003107,0.0003181,0.0003753,0.0003427,0.0003511,0.0004239,0.0005151,0.0005505,0.0004398,0.0003796,0.0003841,0.0005445,0.0004901,0.0004010,0.0004224,0.0004295,0.0004410,0.0004461,0.0004569,0.0004646,0.0004790,0.0005162,
Caso 552,0.0000003,0.0000006,0.0000007,0.0000010,0.0000018,0.0000020,0.0000034,0.0000036,0.0000046,0.0000056,0.0000067,0.0000082,0.0000121,0.0000103,0.0000119,0.0000142,0.0000164,0.0000180,0.0000248,0.0000211,0.0000238,0.0000261,0.0000288,0.0000308,0.0000369,0.0000342,0.0000366,0.0000482,0.0000523,0.0000459,0.0000477,0.0000632,0.0000544,0.0000869,0.0000625,0.0000668,0.0000697,0.0000904,0.0000766,0.0000802,0.0001032,0.0000892,0.0000944,0.0000984,0.0001229,0.0001061,0.0001102,0.0001302,0.0001242,0.0001252,0.0001307,0.0001394,0.0001378,0.0001586,0.0001472,0.0001813,0.0001600,0.0002000,0.0001784,0.0001784,0.0003893,0.0001930,0.0002021,0.0002077,0.0002229,0.0002136,0.0002203,0.0002256,0.0002728,0.0002391,0.0002446,0.0003497,0.0002582,0.0002654,0.0002783,0.0002843,0.0003471,0.0003024,0.0006322,0.0003110,0.0003084,0.0003843,0.0003405,0.0008375,0.0004093,0.0003558,0.0003646,0.0004767,0.0004488,0.0004634,0.0004361,0.0004237,0.0004693,0.0004266,0.0004362,0.0005034,0.0004578,0.0005472,0.0004804,0.0004895,
Caso 553,0.0000002,0.0000005,0.0000008,0.0000012,0.0000016,0.0000021,0.0000028,0.0000041,0.0000063,0.0000056,0.0000067,0.0000077,0.0000119,0.0000102,0.0000115,0.0000132,0.0000195,0.0000169,0.0000186,0.0000204,0.0000224,0.0000283,0.0000305,0.0000292,0.0000379,0.0000335,0.0000363,0.0000396,0.0000506,0.0000447,0.0000584,0.0000506,0.0000540,0.0000708,0.0000608,0.0000651,0.0000685,0.0000743,0.0000891,0.0000782,0.0001170,0.0001075,0.0000882,0.0000907,0.0000943,0.0000991,0.0001276,0.0001293,0.0001337,0.0001378,0.0001260,0.0001312,0.0001620,0.0001360,0.0001405,0.0001466,0.0001518,0.0001782,0.0001659,0.0001724,0.0001740,0.0001743,0.0001849,0.0001910,0.0002464,0.0002107,0.0002044,0.0002148,0.0002212,0.0002275,0.0002424,0.0002506,0.0002891,0.0002485,0.0002624,0.0002698,0.0002783,0.0002949,0.0003039,0.0003217,0.0003099,0.0004343,0.0003716,0.0005076,0.0003429,0.0003879,0.0003735,0.0003661,0.0003713,0.0004519,0.0004143,0.0003947,0.0004037,0.0004142,0.0004244,0.0004281,0.0004352,0.0004440,0.0007796,0.0004663,
Caso 554,0.0000003,0.0000005,0.0000008,0.0000012,0.0000016,0.0000023,0.0000032,0.0000040,0.0000044,0.0000054,0.0000065,0.0000100,0.0000089,0.0000101,0.0000117,0.0000134,0.0000151,0.0000208,0.0000184,0.0000202,0.0000224,0.0000291,0.0000330,0.0000355,0.0000313,0.0000345,0.0000367,0.0000491,0.0000425,0.0000537,0.0000572,0.0000515,0.0000684,0.0000581,0.0000613,0.0000644,0.0000832,0.0000701,0.0000892,0.0000963,0.0000822,0.0001312,0.0000904,0.0000981,0.0001001,0.0001282,0.0001095,0.0001144,0.0001453,0.0002175,0.0001556,0.0001336,0.0001381,0.0001430,0.0001470,0.0001534,0.0001578,0.0001671,0.0001716,0.0001787,0.0001882,0.0001892,0.0002187,0.0002150,0.0001988,0.0002066,0.0002126,0.0002204,0.0002665,0.0002448,0.0002391,0.0002445,0.0002543,0.0002633,0.0002630,0.0002770,0.0002837,0.0002946,0.0002962,0.0003050,0.0003090,0.0004495,0.0006008,0.0003548,0.0003430,0.0003536,0.0003627,0.0004367,0.0003756,0.0003838,0.0007719,0.0004152,0.0004118,0.0004229,0.0004311,0.0004550,0.0004516,0.0004606,0.0004852,0.0005864,
Caso 555,0.0000002,0.0000005,0.0000008,0.0000013,0.0000022,0.0000033,0.0000032,0.0000042,0.0000068,0.0000076,0.0000071,0.0000085,0.0000100,0.0000117,0.0000132,0.0000147,0.0000161,0.0000177,0.0000200,0.0000270,0.0000244,0.0000331,0.0000289,0.0000318,0.0000435,0.0000373,0.0000396,0.0000421,0.0000445,0.0000484,0.0000509,0.0000669,0.0000718,0.0000623,0.0000652,0.0000687,0.0000721,0.0000745,0.0000973,0.0000837,0.0001079,0.0001174,0.0000958,0.0000993,0.0001285,0.0001093,0.0001142,0.0002266,0.0001552,0.0001327,0.0001382,0.0001434,0.0001807,0.0001502,0.0001547,0.0001916,0.0001726,0.0001767,0.0002123,0.0002215,0.0001894,0.0001888,0.0002444,0.0002097,0.0002168,0.0002248,0.0002308,0.0002357,0.0002374,0.0003079,0.0002658,0.0002711,0.0002776,0.0003323,0.0002816,0.0002900,0.0003056,0.0003146,0.0003119,0.0003183,0.0004933,0.0006833,0.0003545,0.0004184,0.0003558,0.0007262,0.0004028,0.0003896,0.0004129,0.0006683,0.0004821,0.0004567,0.0004230,0.0004324,0.0004401,0.0004485,0.0004549,0.0004693,0.0004770,0.0004888,
